상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202209A0065123,망향비빔국수광,,I2,음식,I201,한식,I20105,국수/칼국수,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1.12151E+18,1,대지,73,5,서울특별시 광진구 구의동 73-5,1.12152E+11,서울특별시 광진구 천호대로,694,,1.12151E+24,,서울특별시 광진구 천호대로 694,143819,4975,,1,,127.0912273,37.54930314
MA0101202209A0075303,칭구라이브,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11215,광진구,11215740,중곡1동,1121510100,중곡동,1.12151E+18,1,대지,235,11,서울특별시 광진구 중곡동 235-11,1.12154E+11,서울특별시 광진구 동일로72길,4,,1.12151E+24,,서울특별시 광진구 동일로72길 4,143903,4912,,2,,127.0778593,37.56604012
MA0101202209A0033196,하노이맥주밤거리,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,8,26,서울특별시 광진구 화양동 8-26,1.12154E+11,서울특별시 광진구 동일로22길,105,,1.12151E+24,,서울특별시 광진구 동일로22길 105,143914,5017,,2,,127.0698514,37.54094613
MA0101202209A0063392,만나분식,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,142,24,서울특별시 광진구 중곡동 142-24,1.12154E+11,서울특별시 광진구 능동로38길,23,,1.12151E+24,,서울특별시 광진구 능동로38길 23,143891,4929,,1,,127.0812252,37.5574253
MA0101202209A0013789,몽글제과점,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,32,29,서울특별시 광진구 화양동 32-29,1.12154E+11,서울특별시 광진구 동일로28길,36,,1.12151E+24,,서울특별시 광진구 동일로28길 36,143916,5012,,1,,127.0685523,37.54622506
MA0101202209A0086666,망향비빔국수화양점,,I2,음식,I201,한식,I20105,국수/칼국수,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,21,1,서울특별시 광진구 화양동 21-1,1.12153E+11,서울특별시 광진구 광나루로,352,,1.12151E+24,,서울특별시 광진구 광나루로 352,143916,5007,,1,,127.0687793,37.54799291
MA0101202209A0093918,널,,I2,음식,I210,기타 간이,I21099,그 외 기타 간이 음식점,I56199,간이 음식 포장 판매 전문점,11,서울특별시,11215,광진구,11215850,구의1동,1121510300,구의동,1.12151E+18,1,대지,251,81,서울특별시 광진구 구의동 251-81,1.12154E+11,서울특별시 광진구 아차산로51길,77,,1.12151E+24,,서울특별시 광진구 아차산로51길 77,143826,5039,,1,,127.0849412,37.54046933
MA0101202209A0052805,동네파스타,,I2,음식,I204,서양식,I20402,파스타/스테이크,I56123,서양식 음식점업,11,서울특별시,11215,광진구,11215730,군자동,1121510900,군자동,1.12151E+18,1,대지,503,,서울특별시 광진구 군자동 503,1.12153E+11,서울특별시 광진구 광나루로,369,,1.12151E+24,광진두산위브파크,서울특별시 광진구 광나루로 369,143840,5005,,1,,127.0710369,37.54845221
MA0101202209A0010408,잔밤,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11230,동대문구,11230660,장안2동,1123010600,장안동,1.12301E+18,1,대지,344,3,서울특별시 동대문구 장안동 344-3,1.12304E+11,서울특별시 동대문구 장한로24길,15,,1.12301E+24,,서울특별시 동대문구 장한로24길 15,130840,2637,,2,,127.0719032,37.570769
MA0101202209A0035602,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56123,서양식 음식점업,11,서울특별시,11215,광진구,11215850,구의1동,1121510300,구의동,1.12151E+18,1,대지,257,93,서울특별시 광진구 구의동 257-93,1.12154E+11,서울특별시 광진구 자양로18길,41,,1.12151E+24,,서울특별시 광진구 자양로18길 41,143828,5042,,1,,127.0859095,37.53808003
MA0101202212A0048228,더오리1987,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215850,구의1동,1121510300,구의동,1.12151E+18,1,대지,229,45,서울특별시 광진구 구의동 229-45,1.12153E+11,서울특별시 광진구 구의로,71,,1.12151E+24,,서울특별시 광진구 구의로 71,143962,5032,,1,,127.0903944,37.54427787
MA0101202212A0016139,장안정,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11230,동대문구,11230660,장안2동,1123010600,장안동,1.12301E+18,1,대지,142,3,서울특별시 동대문구 장안동 142-3,1.12304E+11,서울특별시 동대문구 한천로28길,26,,1.12301E+24,,서울특별시 동대문구 한천로28길 26,130102,2529,,1,,127.0681377,37.57315414
MA0101202212A0090178,대패로,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,32,17,서울특별시 광진구 화양동 32-17,1.12154E+11,서울특별시 광진구 능동로13길,88,,1.12151E+24,,서울특별시 광진구 능동로13길 88,143916,5012,,1,,127.0686066,37.54549564
MA0101202212A0074585,키요이미즈,,I2,음식,I203,일식,I20301,일식 회/초밥,I56122,일식 음식점업,11,서울특별시,11230,동대문구,11230660,장안2동,1123010600,장안동,1.12301E+18,1,대지,94,45,서울특별시 동대문구 장안동 94-45,1.12304E+11,서울특별시 동대문구 한천로46길,42,,1.12301E+24,장안동마루하우스,서울특별시 동대문구 한천로46길 42,130835,2516,,,,127.0706836,37.58145482
MA0101202212A0040137,오늘도김치찜,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,24,1,서울특별시 광진구 화양동 24-1,1.12153E+11,서울특별시 광진구 동일로,164,,1.12151E+24,,서울특별시 광진구 동일로 164,143916,5013,,1,,127.0668369,37.54675215
MA0101202212A0075147,블레싱테이블,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1.12151E+18,1,대지,671,,서울특별시 광진구 구의동 671,1.12154E+11,서울특별시 광진구 광나루로39길,11,,1.12151E+24,구의자이르네,서울특별시 광진구 광나루로39길 11,143202,4977,,1,,127.0887614,37.54549071
MA0101202212A0068273,달콤버거,,I2,음식,I210,기타 간이,I21004,버거,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,117,20,서울특별시 광진구 중곡동 117-20,1.12154E+11,서울특별시 광진구 용마산로3길,7,,1.12151E+24,,서울특별시 광진구 용마산로3길 7,143890,4931,,1,,127.0876358,37.55613244
MA0101202212A0059250,휘경홍어,,I2,음식,I201,한식,I20111,횟집,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,24,29,서울특별시 광진구 중곡동 24-29,1.12153E+11,서울특별시 광진구 용마산로,105,,1.12151E+24,,서울특별시 광진구 용마산로 105,143898,4935,,1,,127.086714,37.56303637
MA0101202212A0025730,데스티니,,I2,음식,I205,동남아시아,I20501,베트남식 전문,I56129,기타 외국식 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,9,66,서울특별시 광진구 화양동 9-66,1.12154E+11,서울특별시 광진구 동일로24길,82,,1.12151E+24,,서울특별시 광진구 동일로24길 82,143914,5018,,1,,127.0694574,37.54260096
MA0101202212A0072015,행운돈까스,,I2,음식,I204,서양식,I20401,경양식,I56123,서양식 음식점업,11,서울특별시,11230,동대문구,11230660,장안2동,1123010600,장안동,1.12301E+18,1,대지,337,20,서울특별시 동대문구 장안동 337-20,1.12304E+11,서울특별시 동대문구 답십리로72길,24,,1.12301E+24,,서울특별시 동대문구 답십리로72길 24,130840,2637,,1,,127.0739596,37.57108249
MA0101202212A0093037,오프야드오뎅,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,8,42,서울특별시 광진구 화양동 8-42,1.12154E+11,서울특별시 광진구 아차산로31길,20,3,1.12151E+24,,서울특별시 광진구 아차산로31길 20-3,143914,5017,,1,,127.0698513,37.5418652
MA0101202212A0017235,마약낙곱새,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,23,11,서울특별시 광진구 화양동 23-11,1.12154E+11,서울특별시 광진구 광나루로12길,6,,1.12151E+24,,서울특별시 광진구 광나루로12길 6,143916,5007,,1,,127.067712,37.54736277
MA0101202212A0099422,밀로온더고,,I2,음식,I204,서양식,I20401,경양식,I56123,서양식 음식점업,11,서울특별시,11215,광진구,11215730,군자동,1121510900,군자동,1.12151E+18,1,대지,473,1,서울특별시 광진구 군자동 473-1,1.12152E+11,서울특별시 광진구 천호대로,530,,1.12151E+24,,서울특별시 광진구 천호대로 530,143838,4996,,2,,127.0770225,37.55771689
MA0101202212A0012955,족발예찬,,I2,음식,I201,한식,I20103,족발/보쌈,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1.12151E+18,1,대지,217,7,서울특별시 광진구 구의동 217-7,1.12153E+11,서울특별시 광진구 구의강변로,87,,1.12151E+24,,서울특별시 광진구 구의강변로 87,143822,5047,,1,,127.0936217,37.53849089
